                         --- INICIO DO RELATORIO ---                                                     --- INICIO DO RELATORIO ---                            
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:         1                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                        0                 0                11        215                                                                        
                                        0                 0                 0        532                                                                        
                                        0                 0                 0        532                                                                        
                                        0                 0                 0        532                                                                        
                                        0                 0                 0        532                                                                        
                                        0                 0                 0        532                                                                        
                                        0                 0                 0        532                                                                        
                                       12                35                 0        348                                                                        
                                        4                36                 0        351                                                                        
                                       12                35                 0        348                                                                        
                                        0                 0                 0        532                                                                        
                                        0                 0                 0        502                                                                        
                                        0                 0                 0        532                                                                        
                                        0                 0                 0        347                                                                        
                                        0                 0                 0        DCC                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        348                                                                        
                                       12                 3                 0        348                                                                        
                                        4                 3                 0        351                                                                        
                                        0                 0                 0        ECJ                                                                        
                                        0                 0                 0        LCJ                                                                        
                                        0                 0                 0        CHE                                                                        
                                        4                61              4930        722                                                                        
                                       12               153                 0        450                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        340                                                                        
                                        0                 0                 0        340                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        187                                                                        
                                       12                 3                 0        348                                                                        
                                        2                 3                 0        809                                                                        
                                        2                 3                 0        809                                                                        
                                        2                 3                 0        809                                                                        
                                        2                 3                 0        809                                                                        
                                        2                 3                 0        809                                                                        
                                        2                 3                 0        809                                                                        
                                        2                 3                 0        809                                                                        
                                        0                 0                 0        351                                                                        
                                        0                 0                 0        347                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:         3                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        340                                                                        
                                        0                 0                 0        280                                                                        
                                        0                 0                 0        215                                                                        
                                        0                 0                 0        347                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        602                                                                        
                                        0                 0                 0        321                                                                        
                                      545                 0                 0        621                                                                        
                                        6                 1             24557        621                                                                        
                                        6                 1             24553        621                                                                        
                                       12               146             32008        347                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                       12                17               918        346                                                                        
                                       12                 3                 0        348                                                                        
                                       12                17               928        346                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        321                                                                        
                                       12                 3                 0        348                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        385                                                                        
                                       12                40                 0        347                                                                        
                                       12                40                 0        347                                                                        
                                       12                41                 0        321                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        321                                                                        
                                       12               146             32008        347                                                                        
                                        0                 0                 0        321                                                                        
                                      545                 0                 0        621                                                                        
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:         4                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        321                                                                        
                                        6                 1                 0        621                                                                        
                                        0                 0                 0        142                                                                        
                                        0                 0                 0        321                                                                        
                                       12                41                 0        321                                                                        
                                       20                 1                 0        299                                                                        
                                       12                41                 0        321                                                                        
                                       12               145             32007        347                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        348                                                                        
                                       12                83             37128        444                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        602                                                                        
                                        6                 1             24557        621                                                                        
                                        0                 0                 0        340                                                                        
                                        0                 0                 0        787                                                                        
                                       12                 3                 0        348                                                                        
                                        0                 0                 0        602                                                                        
                                       12                84             37129        728                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        351                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                       12               146             32008        347                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        347                                                                        
                                       20                 1                 0        299                                                                        
                                       12                17             29629        346                                                                        
                                       12                17             30687        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        966                                                                        
                                        0                 0                 0        966                                                                        
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:         5                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                        0                 0                 0        966                                                                        
                                        0                 0                 0        966                                                                        
                                        0                 0                 0        966                                                                        
                                        0                 0                 0        966                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        142                                                                        
                                        0                 0                 0        321                                                                        
                                       12                83             37128        444                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        ECJ                                                                        
                                        0                 0                 0        LCJ                                                                        
                                        0                 0                 0        725                                                                        
                                        0                 0                 0        602                                                                        
                                      826                 0                 0        227                                                                        
                                        0                 0                 0        340                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        378                                                                        
                                        0                 0                 0        378                                                                        
                                        0                 0                 0        378                                                                        
                                        0                 0                 0        378                                                                        
                                        0                 0                 0        378                                                                        
                                        0                 0                 0        688                                                                        
                                       20                 1                 0        299                                                                        
                                       12                83             37128        444                                                                        
                                       12                 3                 0        348                                                                        
                                       12                17               928        346                                                                        
                                       12                17               928        346                                                                        
                                        0                 0                 0        321                                                                        
                                       12                17               928        346                                                                        
                                        0                 0                 0        CHE                                                                        
                                       12                84             37129        728                                                                        
                                       12                 3                 0        348                                                                        
                                        0                 0                 0        321                                                                        
                                       12                83             37128        444                                                                        
                                        0                 0                 0        348                                                                        
                                       12               146             32008        347                                                                        
                                       12                40             41736        347                                                                        
                                       12               146             32008        347                                                                        
                                        0                 0                 0        CHE                                                                        
                                       20                 1                 0        299                                                                        
                                        4                 3                 0        351                                                                        
                                        4                 3                 0        351                                                                        
                                        2                 1                 0        842                                                                        
                                        2                 1                 0        842                                                                        
                                        0                 0                 0        321                                                                        
                                       12                17             29629        346                                                                        
                                       12               126                 0        628                                                                        
                                        0                 0                 0        346                                                                        
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:         6                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                        0                 0                 0        347                                                                        
                                       12                78             28770        725                                                                        
                                        0                 0                 0        321                                                                        
                                       20                 1                 0        299                                                                        
                                        2                 3                 0        809                                                                        
                                        2                 3                 0        809                                                                        
                                       12                 3                 0        348                                                                        
                                       12                 3                 0        348                                                                        
                                        6                31               922        621                                                                        
                                       12                17               928        346                                                                        
                                       20                 1                 0        299                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        348                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        4                 3                 0        351                                                                        
                                        4                61              6495        722                                                                        
                                        4                61              6495        722                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        197                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                       12               109             27119        708                                                                        
                                       12                78             29443        725                                                                        
                                        0                 0                 0        348                                                                        
                                       12                17               928        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        348                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:         7                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                        0                 0                 0        631                                                                        
                                       12                17               918        346                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        348                                                                        
                                       20                 1                 0        299                                                                        
                                       12                40                 0        347                                                                        
                                        0                 0                 0        347                                                                        
                                        0                 0                 0        351                                                                        
                                       12                 3                 0        348                                                                        
                                        0                 0                 0        280                                                                        
                                       12               146             32008        347                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        ECJ                                                                        
                                        0                 0                 0        LCJ                                                                        
                                        4                 3                 0        351                                                                        
                                       12                 3                 0        348                                                                        
                                        0                 0                 0        299                                                                        
                                        0                 0                 0        340                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        346                                                                        
                                       12                17               918        346                                                                        
                                        0                 0                 0        DCC                                                                        
                                        0                 0                 0        ECJ                                                                        
                                        0                 0                 0        LCJ                                                                        
                                        4                61              4930        722                                                                        
                                        0                 0                 0        ECJ                                                                        
                                        0                 0                 0        ECJ                                                                        
                                        0                 0                 0        LCJ                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:         8                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:         9                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:        10                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:        11                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 2                 0        809                                                                        
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:        12                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        2                 2                 0        809                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        725                                                                        
                                        0                 0                 0        348                                                                        
                                        2                 1                 0        842                                                                        
                                        2                 1                 0        842                                                                        
                                        2                 1                 0        842                                                                        
                                        2                 1                 0        842                                                                        
                                        2                 1                 0        842                                                                        
                                        2                 1                 0        842                                                                        
                                        2                 1                 0        842                                                                        
                                        2                 1                 0        842                                                                        
                                        2                 1                 0        842                                                                        
                                        0                 0                 0        346                                                                        
                                       12               167             36812        321                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        602                                                                        
                                       20                 1                 0        299                                                                        
                                        0                 0                 0        340                                                                        
                                      826                 0                 0        227                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                        0                 0                 0        376                                                                        
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:        13                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                        0                 0                 0        321                                                                        
                                       12                17             29628        346                                                                        
                                        0                 0                 0        340                                                                        
                                       12                83             37128        444                                                                        
                                        0                 0                 0        382                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        346                                                                        
                                       12                17             30687        346                                                                        
                                       12                17             30687        346                                                                        
                                       12               145             32007        347                                                                        
                                        0                 0                 0        725                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        187                                                                        
                                        0                 0                 0        187                                                                        
                                        0                 0                 0        321                                                                        
                                       12                18                 0        321                                                                        
                                       12                41                 0        321                                                                        
                                        0                 0                 0        ECJ                                                                        
                                        0                 0                 0        379                                                                        
                                        0                 0                 0        729                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        602                                                                        
                                        0                 0                 0        321                                                                        
                                        0                 0                 0        346                                                                        
                                        0                 0                 0        853                                                                        
                                        0                 0                 0        321                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                                                                                                                                                
CLLP2577                                        REGISTROS DO ARQUIVO PRODUTOS BASE DO EMPF                           PAG.:        14                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
                                    PRODUTO         SUBPRODUTO       CONVENIO     CARTEIRA                                                                      
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
                                        2                 5                 0        129                                                                        
