                         --- INICIO DO RELATORIO ---                                                     --- INICIO DO RELATORIO ---                            
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:         1                            
              4120         DRP             5     EMPR RURAIS                                                                                                    
              4120         DRR             5     EMPR RURAIS                                                                                                    
              4120         DRV             5     EMPR RURAIS                                                                                                    
              4120         DVS            99     DIVERSOS                                                                                                       
              4120         E               2     PCDS                                                                                                           
              4120         ECH            90     ENCARGOS - CHEQUE ESPECIAL                                                                                     
              4120         ECL            93     EXCESSO DE CONTA CORRENTE COM LIMITE                                                                           
              4120         ECR            90     ENCARGOS DE LIMITE DE CREDITO                                                                                  
              4120         EDC            91     ENCARGOS DESC C/C  EM ABERTO                                                                                   
              4120         ER              5     RURAL                                                                                                          
              4120         ES             99     DIVERSOS                                                                                                       
              4120         F               3     DDS                                                                                                            
              4120         FIAN           15     RESP P/ FIANCA                                                                                                 
              4120         G               2     PCDS                                                                                                           
              4120         H               6     EMPRESTIMOS COM GARANTIA DE ORPAG                                                                              
              4120         INV             5     RURAL                                                                                                          
              4120         J              23     CRDA/CRGH/LRCP                                                                                                 
              4120         K               5     EMPR RURAIS                                                                                                    
              4120         L               5     CREDITO RURAL                                                                                                  
              4120         LCH            90     LIMITE - CHEQUE ESPECIAL                                                                                       
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:         2                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4120         LCR            90     LIMITE DE CREDITO                                                                                              
              4120         LDF            58     LIMITE DESCONTO A FORNECEDORES                                                                                 
              4120         LGR            99     LIMITE CAPITAL DE GIRO ROTATIVO                                                                                
              4120         M               5     CREDITO RURAL                                                                                                  
              4120         N               5     EMPR RURAIS                                                                                                    
              4120         P               2     PCDS                                                                                                           
              4120         POCF           54     POC/FINAC/PROCAP/PROINFO                                                                                       
              4120         PROC           54     POC/FINAC/PROCAP/PROINFO                                                                                       
              4120         PRON           55     PRONAGRI                                                                                                       
              4120         Q              23     CRDA/CRGH/LRCP                                                                                                 
              4120         R               3     DDS                                                                                                            
              4120         RESO            9     RESOLUCAO 695                                                                                                  
              4120         RUR             5     EMPR RURAIS                                                                                                    
              4120         S               2     PCDS                                                                                                           
              4120         T               3     DDS                                                                                                            
              4120         TRAN                  TRANSITORIA (04-45)                                                                                            
              4120         TRAZ                  TRANSITORIA (04-21)                                                                                            
              4120         U              99     DIVERSOS                                                                                                       
              4120         VDA            99     VENDA DE ATIVOS - CONTADORIA GERAL                                                                             
              4120         W               2     TITULO DESCONTADO GARANTIA DE NOTECA                                                                           
              4120         0CAU            1     CAPITAL DE GIRO COBRANCA CAUCIONADA                                                                            
              4120         0000           98     CESSAO-INSTITUICOES FINANCEIRAS                                                                                
              4120         0002           99     CL - CAMBIO                                                                                                    
              4120         0003           99     LP BANEB/BEA/EX FINANCIADORA BBD                                                                               
              4120         0006           99     CL-DCIP EXTRA JUDICIAL                                                                                         
              4120         0008           99     LP-CAMBIO                                                                                                      
              4120         0010            5     REF.DOS JUROS DAS OPER.SECURIT.-RES.247                                                                        
              4120         0011            5     A.M.REF.DOS JRS DAS OP.SECURIT.RES.2471                                                                        
              4120         0012           99     OUTRAS OPERACOES                                                                                               
              4120         0014           99     OUTRAS OPERACOES                                                                                               
              4120         0015           99     OUTRAS OPERACOES                                                                                               
              4120         0016            5     C.R.P. ESTOCAGEM-RPL                                                                                           
              4120         0017            5     C.R.P. ESTOCAGEM-RPL -MORA                                                                                     
              4120         0018            5     RECURSOS OBRIGATORIOS EM MORA                                                                                  
              4120         0019            5     CUSTEIO. AGRICOLA. - CESSAO COMMODITIES                                                                        
              4120         0020            5     CUSTEIO. PECUARIO. - CESSAO COMMODITIES                                                                        
              4120         0021            5     INVEST. AGRICOLA.. - CESSAO COMMODITIES                                                                        
              4120         0022            5     INVEST. PECUARIO.. - CESSAO COMMODITIES                                                                        
              4120         0023            5     COMERC. AGRICOLA.. - CESSAO COMMODITIES                                                                        
              4120         0024            5     PROGRAMA PECUARIO RURAL/BNDES                                                                                  
              4120         0025            5     CUSTEIO AGRICOLA - POUP-LIVRE                                                                                  
              4120         0026            5     CUSTEIO PECUARIA - POUP- LIVRE                                                                                 
              4120         0027            5     INVESTIMENTO AGRICOLA-CESSAO COMMOD                                                                            
              4120         0028            5     INVESTIMENTO PECUARIO-CESSAO. COMMOD                                                                           
              4120         0029            5     COMERCIALIZACAO AGRICOLA-CESSAO COMMOD                                                                         
              4120         0030            5     COMERCIALIZACAO PECUARIO-CESSAO COMMOD                                                                         
              4120         0031           99     PROAGRO                                                                                                        
              4120         0032            5     CUSTEIO AGRIC.CRED.LIQUIDACAO                                                                                  
              4120         0033            5     CUSTEIO PECUA.REC.POUP.LIVRE                                                                                   
              4120         0034            5     INVEST.AGRICOLA-REC.POUP.LIVRE                                                                                 
              4120         0035            5     INVEST.PECUA.REC.POUP.LIVRE                                                                                    
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:         3                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4120         0036            5     COMERC.AGRIC.REC.POUP.LIVRE                                                                                    
              4120         0037            5     COMERC.AGRIC.REC.POUP.LIVRE                                                                                    
              4120         0038            5     MANUTENCAO DE LAVOURAS RPL                                                                                     
              4120         0039            5     CUSTEIO PECUARIO-RPL/BBD POS FIXADO                                                                            
              4120         0040            5     INVEST.AGRICOLA-RPL/BBD/POS FIXADO                                                                             
              4120         0041            5     INV.PECUARIO-RPL/BBD-POS FIXADO                                                                                
              4120         0042            5     COM.PEC.AD.COOP-RPL/BBD POS FIXADO                                                                             
              4120         0043           51     MANUTENCAO DE LAVOURAS R O                                                                                     
              4120         0044            5     CUSTEIO PECUARIO - ROB                                                                                         
              4120         0045           51     INVEST.AGRICOLA-REC.OBRIGATORIOS                                                                               
              4120         0046           51     INVEST.PECUARIO-REC.OBRIGATORIOS                                                                               
              4120         0047            5     R.O.A COOP PRODS PEC ENTREGUES A VENDA                                                                         
              4120         0048            5     EMP.CONTA - OPERACOES RURAIS                                                                                   
              4120         0049            1     AQ. CREDITOS OP. CAP. GIRO S/COOBRIGACAO                                                                       
              4120         0050           13     RENEG.DE DIVIDA ACORDO NOS AUTOS LP PJ                                                                         
              4120         0051            5     COM.AGRIC.WARRANT-REC-OBRG.                                                                                    
              4120         0052            5     COM.AGRIC.WARRANT-REC-RPL                                                                                      
              4120         0053            5     CUSTEIO AGR COLA PROGER                                                                                        
              4120         0054            5     CUSTEIO PECU RIO PROGER                                                                                        
              4120         0055            5     INVEST. PECUARIO REP-REF                                                                                       
              4120         0056           51     ESTOCAGEM DE PRODUTOS EGF                                                                                      
              4120         0057            5     COMERCIALIZACAO PECUARIA EGF/LEC                                                                               
              4120         0058            5     CUSTEIO AGRIC.RPL                                                                                              
              4120         0059            5     CUSTEIO AGRICOLA - R.P.L. BBD POS                                                                              
              4120         0060            5     COMERC.AGRICOLA-DEP.ESP.REMUN.                                                                                 
              4120         0061            5     INVESTIMENTO PECU RIO PROGER                                                                                   
              4120         0062            5     MANUTENCAO DE LAVOURAS DOLAR                                                                                   
              4120         0063            5     CUSTEIO AG.RPL-BBD-PRE                                                                                         
              4120         0064            5     CUSTEIO PEC.RPL                                                                                                
              4120         0065            5     CUSTEIO PECUARIO - R.P.L. BBD-POS                                                                              
              4120         0066           51     INVESTIMENTO AGR COLA PROGER                                                                                   
              4120         0067            5     C.R.P. ESTOCAGEM-DER-MORA                                                                                      
              4120         0068            5     AM.CUSTEIO AGRICOLA-RES.2148                                                                                   
              4120         0069            5     RECURSOS OBRIGATORIOS RENEGOCIADO                                                                              
              4120         0070            5     INVEST.AGRIC.RPL                                                                                               
              4120         0071            5     INVEST.AGRIC.RPL-BBD-POS                                                                                       
              4120         0072            5     INVEST.AGRIC.RPL-BBI-POS                                                                                       
              4120         0073            5     EMPR.RUR.CUST.AGRICOLA DER-MORA                                                                                
              4120         0074            5     EMPR.RUR.CUST.PECUARIO DER-MORA                                                                                
              4120         0075            5     INVEST.AGRIC.RPL-BBD-PRE                                                                                       
              4120         0076            5     MANUT DA ATIV PECUARIA DOLAR                                                                                   
              4120         0077            5     INVEST.PEC.RPL-BBD-POS                                                                                         
              4120         0078            5     INVEST.PEC.RPL-BBI-POS                                                                                         
              4120         0079            5     INVEST.PECUARIO.RPL-FBI-POS                                                                                    
              4120         0080            5     INVEST.PEC.RPL-BBI-PRE                                                                                         
              4120         0081            5     INVEST.PEC.RPL-BBD-PRE                                                                                         
              4120         0082            5     COMERC.AG.RPL-BBD-POS                                                                                          
              4120         0083            5     COMERC.AGRICOLA. - R.P.L. - BBD POS                                                                            
              4120         0084           45     CONTA GRAFICA GREENVILLE                                                                                       
              4120         0085           45     CONTA GRAFICA CONVENIOS                                                                                        
              4120         0086            5     RECURSOS DER RENEGOCIADO                                                                                       
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:         4                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4120         0087            5     RECURSOS PROPRIOS LIVRES RENEGOCIADO                                                                           
              4120         0088            1     CAPITAL DE GIRO PJ - CIDADETRAN                                                                                
              4120         0089            5     EMPR.RUR.COMERC.PECUARIA DER-MORA                                                                              
              4120         0090            5     COMERC.AGR.REC.FDO.INV.COMMODITIES-MORA                                                                        
              4120         0091            5     RECURSOS FUNDO COMMODITIES RENEGOCIADO                                                                         
              4120         0092            5     CUSTEIO AGRICOLA-REC.OBRIGATORIOS                                                                              
              4120         0093            5     CUSTEIO PECUARIO-REC.OBRIGATORIOS                                                                              
              4120         0094            5     INVEST.AGRICOLA-REC.OBRIGATORIOS                                                                               
              4120         0095            5     INVEST.PECUARIO-REC.OBRIGATORIOS                                                                               
              4120         0096            5     COMERC.AGRICOLA-REC.OBRIGATORIOS                                                                               
              4120         0097            5     RECURSOS PROPRIOS LIVRES EM MORA                                                                               
              4120         0098            5     EMPR RURAIS                                                                                                    
              4120         0099            5     CUSTEIO PEC.REP-REF                                                                                            
              4120         0100            5     RECURSOS FUNDO DE COMMODITIES EM MORA                                                                          
              4120         0101            5     FINANCIAMENTO DE ESTOQUE RURAL                                                                                 
              4120         0102           14     CDC ALCADA ESPECIAL                                                                                            
              4120         0104            5     COMERC.PEC.REC.FDO INV.COMMODITIES                                                                             
              4120         0105           99     OUTRAS OPERACOES                                                                                               
              4120         0107           99     OUTRAS OPERACOES                                                                                               
              4120         0108           99     OUTRAS OPERACOES                                                                                               
              4120         0109           99     OUTRAS OPERACOES                                                                                               
              4120         0110           64     GOLD CARD GASTOS NO BRASIL                                                                                     
              4120         0111           64     GOLD CARD SAQUES EFET.BDN                                                                                      
              4120         0112           64     GOLD CARD GASTOS EXTER.BACC                                                                                    
              4120         0113           64     GOLD CARD GASTOS BRAS. BACC                                                                                    
              4120         0114           99     OUTRAS OPERACOES                                                                                               
              4120         0115           64     CARTAO BRADESCO-SAQUES                                                                                         
              4120         0116           64     GOLD CARD GASTOS EXTERIOR                                                                                      
              4120         0117            1     CAPITAL DE GIRO FRANQUIAS                                                                                      
              4120         0118           64     FINANCIAMENTO ROT.CT.VISAFACIL                                                                                 
              4120         0119           64     CA CARTAO CRED MAIS                                                                                            
              4120         0120           64     CARTAO BRADESCO-VISA BACC                                                                                      
              4120         0121           64     WORLD CARD GASTOS EXTER-BAC                                                                                    
              4120         0122           64     WORLD CARD GASTOS BRAS.BACC                                                                                    
              4120         0124           12     CONTA GARANTIDA                                                                                                
              4120         0125           56     PROMISSORIA CAMBIAL                                                                                            
              4120         0126           12     CONTA GARANTIDA                                                                                                
              4120         0128           13     COMPOSICAO DE DIVIDA                                                                                           
              4120         0129           58     DESCONTO DE RECEBIVEIS                                                                                         
              4120         0130           99     OUTRAS OPERACOES                                                                                               
              4120         0131            7     CREDITO PESSOAL                                                                                                
              4120         0132           56     PROMISSORIA CAMBIAL                                                                                            
              4120         0133           66     MORA CONSIGNADO VLRS N/REPASS - PRIVADO                                                                        
              4120         0135           66     MORA CONSIGNADO VLRS N/REPASS - PUBLICO                                                                        
              4120         0136           58     DESCONTO A FORNECEDOR                                                                                          
              4120         0137           67     MORA CONSIGNADO VLRS N/REPAS PRIV GEREN                                                                        
              4120         0138           59     NOTA PROMISSORIA RURAL RPL                                                                                     
              4120         0139           68     MORA CONSIGNADO VLRS N/REPASS-PUB GEREN                                                                        
              4120         0140           59     NOTA PROMISSORIA RURAL RPL                                                                                     
              4120         0141           64     CARTAO CREDITO - FIN PARC LOJISTA                                                                              
              4120         0142           13     RENEG.DIVIDAS DCC-MORA E C.A. PF                                                                               
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:         5                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4120         0143           13     RENEG.DIVIDAS DCC - LP - PF                                                                                    
              4120         0144           13     RENEG.DIVIDAS DCC - MORA E CA PJ                                                                               
              4120         0145           13     RENEG.DIVIDAS DCC - LP - PJ                                                                                    
              4120         0146           90     ENCARGOS LIM. CREDITO                                                                                          
              4120         0147            7     CREDITO PESSOAL                                                                                                
              4120         0148            7     CREDITO PESSOAL                                                                                                
              4120         0149            5     EMPR. RURAIS                                                                                                   
              4120         0150            5     COMERCIALIZACAO AGRICOLA-CCI-RPL                                                                               
              4120         0151            5     COMERCIALIZACAO PECUARIA-CCI-RPL                                                                               
              4120         0152            5     COMERC.AGRICOLA-CCI-COMMODITIES-MORA                                                                           
              4120         0153           51     COMERC.PECUARIA-CCI-COMMODITIES-MORA                                                                           
              4120         0154            5     COMERC.AGRICOLA-CCI-FUNDO COMMODIT-MORA                                                                        
              4120         0155           90     EXCESSO DE LIMITE DE CHEQUE ESPECIAL                                                                           
              4120         0156            5     COMERC.AGRICOLA-CCI-RPL                                                                                        
              4120         0157            5     COMERC.PECUARIA-CCI-RPL                                                                                        
              4120         0158           23     MICROCREDITO                                                                                                   
              4120         0159           46     CIA SECURITIZADORA CREDITOS FINANCEIROS                                                                        
              4120         0160            5     INVESTIMENTO AGRICOLA ACORDOS                                                                                  
              4120         0161            5     INVESTIMENTO PECUARIO ACORDOS                                                                                  
              4120         0162            5     CUSTEIO AGRICOLA COMMODITIES-MORA                                                                              
              4120         0163            5     CUSTEIO PECUARIO COMMODITIES-MORA                                                                              
              4120         0164            5     INVESTIMENTO AGRICOLA COMMODITIES-MORA                                                                         
              4120         0165            5     INVESTIMENTO PECUARIO COMMODITIES-MORA                                                                         
              4120         0166           14     CDC VEIC-INCORP PARC CONTRATO                                                                                  
              4120         0167            5     APL.MORA EMPRESTIMO EM CONTA-CIRC.2499                                                                         
              4120         0168           14     CDC VEIC-INCORP PARC CONTRATO                                                                                  
              4120         0169            7     CP ORIG LIM CP-INCORP PARC CONTRATO                                                                            
              4120         0170            5     EMPR RURAIS                                                                                                    
              4120         0171            5     CUSTEIO AGRICOLA - RES.2080 - MORA                                                                             
              4120         0172            5     RURAL                                                                                                          
              4120         0173            5     RURAL                                                                                                          
              4120         0174            5     RURAL-ESTOCAGEM                                                                                                
              4120         0175            5     RURAL                                                                                                          
              4120         0176            5     RURAL                                                                                                          
              4120         0178            5     RURAL                                                                                                          
              4120         0179            5     RURAL                                                                                                          
              4120         0180            5     RURAL ESTOCAGEM - FUNCAFE                                                                                      
              4120         0181            5     RURAL CUSTEIO - FUNCAFE                                                                                        
              4120         0182            5     RURAL FUNDO CENTRO OESTE                                                                                       
              4120         0183            5     MORA-COMERC.PEC.COMM.CRP/NCR-CIRC.2499                                                                         
              4120         0184            5     MODERINFRA MAQUINAS E EQUIPAMENTOS                                                                             
              4120         0185            5     REPASSE AGROPECUARIO                                                                                           
              4120         0186            5     FUNCAF. INVESTIMENTO                                                                                           
              4120         0187            5     PROGRAMA AGRICOLA RURAL/BNDES                                                                                  
              4120         0188            5     A.M.CUSTEIO PECUARIO-RES.2148                                                                                  
              4120         0189           69     CP APOSENTADO INCORP PARC CONTR                                                                                
              4120         0190           19     FINAME                                                                                                         
              4120         0191           35     PRIVATIZACAO USIMINAS                                                                                          
              4120         0192           37     CONV. DIVIDA - DOE                                                                                             
              4120         0199           64     CARTAO BRADESCO                                                                                                
              4120         0200           64     CARTAO BRADESCO                                                                                                
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:         6                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4120         0201            5     EMPR.RURAIS ESTOCAGEM-MORA                                                                                     
              4120         0202           90     CHEQUE ESPECIAL                                                                                                
              4120         0204           64     CARTAO BRADESCO                                                                                                
              4120         0205           64     CARTAO BRADESCO                                                                                                
              4120         0206           64     CARTAO BRADESCO-SAQUES                                                                                         
              4120         0207           64     CARTAO BRADESCO-SAQUES                                                                                         
              4120         0208           64     CARTAO BRADESCO                                                                                                
              4120         0209            2     PCDS                                                                                                           
              4120         0210           64     CARTAO BRADESCO                                                                                                
              4120         0213           90     ENCEXCHESP ENCARGOS SOBRE EXCESSO LIMIT                                                                        
              4120         0214           18     RECON                                                                                                          
              4120         0215           19     FINAME                                                                                                         
              4120         0216           19     FINAME                                                                                                         
              4120         0217            8     RESOLUCAO 63                                                                                                   
              4120         0218            8     RESOLUCAO 63                                                                                                   
              4120         0220           19     FINAME                                                                                                         
              4120         0221            8     RESOLUCAO 63                                                                                                   
              4120         0222           10     NOTA DE CREDITO DE EXPORTACAO                                                                                  
              4120         0223            9     RESOLUCAO 695                                                                                                  
              4120         0224           12     CONTA GARANTIDA                                                                                                
              4120         0225            5     EMPR RURAIS                                                                                                    
              4120         0226           12     CONTA GARANTIDA                                                                                                
              4120         0227           12     CONTA GARANTIDA                                                                                                
              4120         0228           12     CONTA GARANTIDA                                                                                                
              4120         0229           12     CONTA GARANTIDA                                                                                                
              4120         0230           12     CONTA GARANTIDA                                                                                                
              4120         0231           12     CONTA GARANTIDA                                                                                                
              4120         0232           22     DESCONTO FORNECEDORES POS FIXADA                                                                               
              4120         0233            5     EMPR. RURAIS                                                                                                   
              4120         0235           99     TARIFA EXCESSO DE LIMITE CH ESPECIAL                                                                           
              4120         0237           21     AQUISICAO DE RECEBIVEIS COM COOBRIGACAO                                                                        
              4120         0238           12     CONTA GARANTIDA                                                                                                
              4120         0239           12     CONTA GARANTIDA                                                                                                
              4120         0240           17     CDCI - OPERACOES VINCULADAS                                                                                    
              4120         0241            5     A.M.ESTOC.AGRIC.-RES.2148                                                                                      
              4120         0242            7     CREDITO PESSOAL - OPERACOES VINCULADA                                                                          
              4120         0243            5     RURAL                                                                                                          
              4120         0244           14     RENEG. OUTROS BENS - MORA/CA                                                                                   
              4120         0245            7     CREDITO PESSOAL - SERVIDORES RJ                                                                                
              4120         0246            5     INVEST.PECUARIO-RES.2148                                                                                       
              4120         0247            5     A.M.INVEST.PECUARIO-RES.2148                                                                                   
              4120         0248           14     RENEG.CDC OUTROS BENS - LP                                                                                     
              4120         0249            5     A.M.COMERC.AGRIC.EGF-RES.2148                                                                                  
              4120         0250            5     COMERC.PEC.EGF-RES.2148                                                                                        
              4120         0251            5     RURAL                                                                                                          
              4120         0252            5     ESTOCAGEM PEC. RPL-PRE                                                                                         
              4120         0253            5     APL.MORA ESTOCAGEM PEC.RPL-PRE                                                                                 
              4120         0254            5     EMPRESTIMOS RURAIS AGRICOLAS                                                                                   
              4120         0255            5     EMPRESTIMOS RURAIS PECUARIAS                                                                                   
              4120         0256            5     EMPRESTIMOS RURAIS COOPERATIVAS                                                                                
              4120         0257            5     EMPR RURAIS                                                                                                    
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:         7                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4120         0258           19     FINAME                                                                                                         
              4120         0259            5     CUSTEIO AGRICOLA CREDITO COMPLEMENTAR                                                                          
              4120         0260           90     PEINCIPAL - CHEQUE ESPECIAL                                                                                    
              4120         0261           90     ENCARGOS - CHEQUE ESPECIAL                                                                                     
              4120         0262           12     CONTA GARANTIDA                                                                                                
              4120         0263           12     CONTA GARANTIDA                                                                                                
              4120         0264           19     FINAME                                                                                                         
              4120         0265           19     FINAME                                                                                                         
              4120         0266           33     POC                                                                                                            
              4120         0267           33     POC/FINAC/PROCAP/PROINFO                                                                                       
              4120         0268           19     FINAME SECURITIZACAO                                                                                           
              4120         0269           12     CONTA GARANTIDA                                                                                                
              4120         0270            5     CRED.RURAL REC.PROPRIOS LIVRES-C.857BBD                                                                        
              4120         0271            5     COMERC.AGRIC.CESSAO CCI-CIRC.2499                                                                              
              4120         0272            5     MORA-COMERC.AGRIC.CESSAO-CCI-CIRC.2499                                                                         
              4120         0273            5     RURAL                                                                                                          
              4120         0275           19     FINAME REVITALIZA - TAXA VARIAVEL                                                                              
              4120         0278           46     CREDITOS DE TERCEIROS - EX BCN                                                                                 
              4120         0279           12     CONTA GARANTIDA                                                                                                
              4120         0280           46     SECURITIZADORA FINASA                                                                                          
              4120         0281           46     SECURITIZADORA FINASA PJ                                                                                       
              4120         0282           19     RECOMPRA FINAME                                                                                                
              4120         0283           19     FINAME LEASING COM GARANTIA DE RECOMPRA                                                                        
              4120         0284            5     ESTOCAGEM AGRIC. COMM-PRE                                                                                      
              4120         0285            5     APL.MORA ESTOCAGEM AGRIC.COMM-PRE                                                                              
              4120         0286            5     ESTOCAGEM PEC. COMM-PRE                                                                                        
              4120         0287            5     APL.MORA ESTOCAGEM PEC. COMM-PRE                                                                               
              4120         0288           13     RENEG CARTAO CREDITO OPER ATIVAS PF                                                                            
              4120         0289           28     TIT DESENV ECONOMICO                                                                                           
              4120         0290           19     FINAME                                                                                                         
              4120         0291           33     POC/FINAC/PROCAP/PROINFO                                                                                       
              4120         0292           63     AQ. RECEBIVEIS CREDIT.IMOBILIARIO                                                                              
              4120         0293           12     CONTA GARANTIDA                                                                                                
              4120         0294            1     CREDITO INSTATANEO - GIRO                                                                                      
              4120         0296           19     CDC COM GARANTIA DE RECOMPRA                                                                                   
              4120         0297           70     CP GARANT VEIC_INCORP PARC                                                                                     
              4120         0298            5     APL.MORA ESTOCAGEM AGRIC. RPL-PRE                                                                              
              4120         0299            7     CREDITO PESSOAL MICRO CREDITO                                                                                  
              4120         0300           64     CARTAO BRADESCO                                                                                                
              4120         0301           64     CL/LP NAO CORRENTISTA                                                                                          
              4120         0302           38     FIANCA NAO HONRADA                                                                                             
              4120         0303           99     RESP P/ FIANCA                                                                                                 
              4120         0304            1     CAPITAL DE GIRO ANTECIPACAO PAC                                                                                
              4120         0305            8     RESOLUCAO 63                                                                                                   
              4120         0306            8     RESOLUCAO 63                                                                                                   
              4120         0307            3     DDS                                                                                                            
              4120         0308            2     PCDS                                                                                                           
              4120         0309            1     CAPITAL DE GIRO FRANQUIAS                                                                                      
              4120         0310           99     LP - CL BBD                                                                                                    
              4120         0312           64     CARTAO BNDES                                                                                                   
              4120         0314           16     REF MICRO EMPR                                                                                                 
                                                                                                                                                                
CLLP2574                                ARQUIVO COM OS DADOS DE MESTRE DE ESTATISTICAS                               PAG.:         8                            
                                                                                                                          05/03/2015                            
                                                                                                                                                                
           EMPRESA     CARTEIRA     NATUREZA     DESCRICAO                                                                                                      
              4120         0315           16     REF MICRO EMPR                                                                                                 
              4120         0316           16     REF MICRO EMPR                                                                                                 
              4120         0318           16     REF MICRO EMPR                                                                                                 
              4120         0319           16     REF MICRO EMPR                                                                                                 
              4120         0320           16     REF MICRO EMPR                                                                                                 
              4120         0321           13     COMPOSICAO DE DIVIDA                                                                                           
              4120         0322            2     PCDS                                                                                                           
              4120         0323           30     LINHA DE APOIO AO DESENVOLVIMENTO                                                                              
              4120         0324           19     FINAME                                                                                                         
              4120         0325           76     DCIP- MUTUARIO FINAL                                                                                           
              4120         0326           19     FINAME                                                                                                         
              4120         0327           19     FINAME                                                                                                         
              4120         0330           16     REF MICRO EMPR                                                                                                 
              4120         0331           16     REF MICRO EMPR                                                                                                 
              4120         0332           16     REF MICRO EMPR                                                                                                 
              4120         0333           16     REF MICRO EMPR                                                                                                 
              4120         0334           16     REF MICRO EMPR                                                                                                 
              4120         0335           13     COMPOSICAO DIVIDA                                                                                              
              4120         0336           16     REF MICRO EMPR                                                                                                 
              4120         0337           16     REF MICRO EMPR                                                                                                 
              4120         0338           16     REF MICRO EMPR                                                                                                 
              4120         0340           92     DEB.AUTOM.CONTAS CONSUMO                                                                                       
              4120         0346            7     CRED. PESSOAL INSTANTANEO                                                                                      
              4120         0347            7     CREDITO PESSOAL                                                                                                
              4120         0348            7     CREDITO PESSOAL                                                                                                
              4120         0349            1     CAP.GIRO C/COBR. SIMPLES                                                                                       
              4120         0350            7     CREDITO PESSOAL                                                                                                
              4120         0351            1     CAPITAL DE GIRO FRANQUIAS                                                                                      
              4120         0352           24     HOT MONEY                                                                                                      
              4120         0353           24     HOT MONEY                                                                                                      
